Liczba punktów,KDTree Search in [s],KDTree Search without in[s]
10000,0.0026092529296875,0.0038940906524658203
20000,0.00392603874206543,0.00851583480834961
30000,0.005204916000366211,0.010574579238891602
40000,0.007352352142333984,0.01388859748840332
50000,0.007995843887329102,0.019202709197998047
60000,0.010507822036743164,0.020636320114135742
70000,0.011397600173950195,0.024265050888061523
80000,0.01220846176147461,0.02881312370300293
90000,0.015667200088500977,0.033449649810791016
100000,0.016023874282836914,0.03473830223083496
